kode_gejala,nama_gejala,keterangan
G001,Memakan batang tumbuhan muda,"Batang padi muda tampak bekas gigitan atau patah, terutama ditemukan pada malam hari"
G002,Membuat lubang-lubang pada pematang sawah dan sering berlindung di semak-semak,"Terdapat lubang galian di pematang sawah sebagai sarang dan jalur pergerakan hama"
G003,Menyebabkan daun dan batang tumbuhan berlubang-lubang,"Daun dan batang tampak berlubang-lubang akibat aktivitas makan hama penghisap secara masif"
G004,Daun dan batang kemudian kering dan mati,"Tanaman mengalami gejala hopperburn - mengering dimulai dari bagian bawah seperti terbakar"
G005,Menghisap butir-butir padi yang masih cair,"Biji padi pada fase matang susu mengalami kerusakan akibat dihisap cairan isinya"
G006,Kulit biji akan berwarna kehitam-hitaman,"Kulit gabah berwarna hitam atau coklat kehitaman akibat infeksi sekunder setelah dihisap"
G007,Memakan biji-bijian yang sudah mengeras,"Hama memakan biji padi pada fase matang penuh sehingga gabah menjadi kosong atau rusak"
G008,Memakan dedaunan bahkan pangkal batang,"Daun padi dimakan dari tepi hingga habis dan pada serangan berat memotong pangkal batang"
G009,Daun hanya tersisa rangka atau tulang daunnya saja,"Jaringan mesofil daun habis dimakan sehingga hanya tersisa tulang/kerangka daun yang transparan"
G010,Daun timbul bercak-bercak kecil lalu menguning hingga orange,"Muncul titik-titik kuning kecil pada permukaan daun yang meluas menjadi warna kuning-oranye"
G011,Memakan humus dan akar tanaman,"Akar padi rusak dimakan sehingga tanaman layu dan mudah dicabut dari tanah"
G012,Pertumbuhan daun padi tidak normal,"Daun pucuk tumbuh membentuk gulungan seperti tabung (onion leaf/daun bawang) yang tidak dapat membuka"
G013,Pucuk tanaman menjadi kering dan mudah dicabut,"Daun pucuk (central leaf) mengering dan bila ditarik mudah tercabut karena pangkal membusuk"
G014,Daun padi menjadi putih tinggal kerangka daunnya saja,"Daun padi berwarna putih pucat dan hanya tersisa lapisan epidermis tipis yang tampak seperti kertas"
G015,Terdapat gulungan atau kantung di daun,"Daun padi menggulung membentuk kantung atau tabung yang didalamnya terdapat larva penggerek daun"
G016,Terdapat bintik kehitaman pada daun,"Muncul bintik-bintik kecil berwarna hitam atau abu-abu kehitaman pada permukaan daun padi"
G017,Daun berbentuk belah ketupat dengan ujung meruncing,"Bercak pada daun berbentuk belah ketupat (diamond shape) dengan kedua ujung lancip berwarna abu-abu kecoklatan"
G018,Tanaman kerdil,"Pertumbuhan tanaman jauh lebih pendek dari normal disertai jumlah anakan yang sedikit"
G019,Bercak garis agak basah dan besar akan membesar menjadi keabu-abuan,"Lesi berupa garis basah pada tepi daun yang meluas ke arah pangkal dan berubah menjadi abu-abu kering"
G020,Daun menjadi keriput dan mengulung,"Daun padi menggulung secara memanjang dari tepi, tampak keriput dan mengering dari ujung ke pangkal"
G021,Pelepah dan helaian daun memendek,"Pelepah daun dan helai daun lebih pendek dari normal sehingga tanaman tampak kerdil dan rumpun tidak berkembang"
G022,Batang seperti terbakar,"Batang padi berwarna coklat atau hitam dan tampak seperti terbakar, bagian dalam batang membusuk"
G023,Menyebabkan biji padi menjadi hampa,"Malai terbentuk tetapi biji-biji padi kosong (hampa) akibat terhambatnya pengisian biji"
G024,Tanaman padi dewasa busuk dan kering,"Tanaman padi pada fase lanjut mengalami pembusukan dimulai dari bagian tertentu lalu mengering seluruhnya"
G025,Biji bercak-bercak coklat tetapi tetap ada isinya,"Permukaan gabah/biji menunjukkan bercak coklat namun biji masih berisi meski kualitasnya menurun"
